Normalization,Model,Accuracy (%)
Linear (Min-Max),SVM,75.1522533495737
Z-score,SVM,74.78684531059683
Robust,SVM,74.78684531059683
Decimal-place,SVM,71.61997563946407
Power-law,SVM,47.38124238733252
None,SVM,39.707673568818514
Dynamic Z-score,SVM,27.527405602923267
Adaptive Sequential,SVM,18.148599269183922
